Px Code,Supply #,Description,Unit Price
272000379,4307,DRL BIT SS QC SM 2X125,388.5
272000379,4321,DRL BIT QC FLUT 4.5X195,592.3
272000379,4334,WRENCH HEX,210
272000379,4348,HK BOVIE SWT,243
272000379,4382,KT CATH ANGJ POWER PULSE,204
272000379,4445,CATH VENTRICULAR 35,495
272000379,4450,BLA SHVR FRM ANG 4,306
272000379,4496,GW NL DRL TP THRD 200X2.5,312.84
272000379,4500,SUT FBRWR 2-0 BRD BLK WHT 38,210
272000379,4550,STPL ENDO GIA MD THCK CRV 45X2,1016.05
272000379,4602,KT MCKY GASTRSTMY TB FD 16F,1063.4
272000379,4641,STPL GIA VASC ENDO 2X2.5X3,927.47
272000379,4649,PRBE EFL ELECSURG BLK 3,2126.25
272000379,4700,NDL TBAN EXCELON 19GA,382.2
272000379,4726,BLA SW OSCIL 41X19.5X0.4,282
272000379,4730,DEV EGL INFLAT EAGLE 20ML,255.42
272000379,4855,HEMOSTATIC DSTAT DRY,364.8
272000379,4905,BLA SHVR RD CVD TPR 4X11,905.25
272000379,4963,ST BIOP BRSH CYTO 3.2FX115,440
272000379,5197,DRL BIT SYN TI QC 0.76X8,637.29
272000379,5237,CLMP EXT FX 4 PSTN MRI LG,2328.12
272000379,5413,BLA PRC SW OSCIL THIN NARROW,177
272000379,5452,SUT PSR STR MCR 1.25,770
272000379,5466,DRL BIT SYN SS QC 1.3MX55,347.58
272000379,5472,OVRTB GRD ENDO INSF 8.6-10X25,825
272000379,5475,SNR RTH ENDO SP RET 2.5X1.5,495
272000379,5478,BUR FRM RND FLUT BRL 4,252
272000379,5557,BUR SKT RND CUT FLUT 0.7,459.2
272000379,5584,BLA TPS SW 41X19.5X0.38,177
272000379,5604,EVAC URV UROL W/ADPT 14F,164.46
272000379,5692,RMR NXG 29,1056
272000379,5720,DRL BIT SYN SS QC 1.5X65,347.58
272000379,5731,DRL BIT SS QC 2.4X80,347.58
272000379,5749,SHEATH PERITONEAL DISP 70,253.8
272000379,5759,VLV PNM DRN THOR 30ML,201.6
272000379,5776,DRL BIT LCP CANN SS QC 200X5,1376.8
272000379,5890,DRL BIT SS QC LCP 2X65,347.58
272000379,5905,DV S/SI  SCISS MNPLR CVD 8,1600
272000379,5910,WND SABER ART 30D,2101.5
272000379,5917,DRL BIT TRM SS STRL 3.5,434.5
272000379,5924,DRL BIT ART SS 3,632.5
272000379,5949,DRL BIT QC LCP 1.1X55,347.58
272000379,5961,DRL BIT ART CANN SS 2.6,962.5
272000379,6012,STPL CNTR RLD CRV GRN 40X4.7,1265.5
272000379,6094,CLMP EXT FX CMBO MRI LG,2192.85
272000379,6096,MNPLT RM UT GRN 6.7X10,329.04
272000379,6097,TAP BN CANN SS QC 4X147,1995.9
272000379,6113,SNR SHR PLPCTM OVL 7FX350,451
272000379,6233,DRL BIT SYN SS QC 1.0X50,347.58
272000379,6263,CLMP EXT FX OPN ADJ LG,1805.72
272000379,6280,CLMP EXT FX 6 PSTN PIN LG,2492.51
