Px Code,Supply #,Description,Unit Price
272000379,2987,TISS CLSR FLS 5X41,308.58
272000379,2990,BUR MDS DISCT BLL CRS 9X6.0,368.28
272000379,3022,TAP BN SLD SS QC 3.5X70,1034.55
272000379,3023,DRL BIT SS QC 1.5X85,347.58
272000379,3027,SYS XTRT ALX BLN CNTN 12X100,1625
272000379,3043,HANDPIECE PRO BREATH,928.95
272000379,3070,STPLR EEA XL 25X4.8,1521.6
272000379,3085,OATS ST OSTEOCHONDRAL  8,2340
272000379,3112,WAND BIPLR,1825
272000379,3121,STPL ENDO GIA ROT 60X4.8,1073.99
272000379,3133,BLA SW RECIP LNG,199.74
272000379,3134,STPLR TA 90X4.8,446.16
272000379,3152,DRL BIT ART CANN SS 11,924
272000379,3155,BUR MDS DISCT BLL 14X6,407.88
272000379,3160,OATS ST OSTEOCHONDRAL 10,2340
272000379,3173,ELEVATOR UTERINE VCARE PLUS MD,633
272000379,3175,ELEVATOR UTERINE VCARE PLUS SM,633
272000379,3194,SPLNT NSL DOYLE II ARWY SEPTL,294.48
272000379,3198,RTVR IST SUT FEM STR,238.5
272000379,3201,ELEVATOR UTERINE VCARE PLUS LG,633
272000379,3219,DEV EGL DIL INFLAT 10CC,250.8
272000379,3221,SPNG HMST SRG DNSE WV 9X6,802.23
272000379,3222,BSKT ZRT ENDO 1.9FX0.63X120,1141.9
272000379,3230,STPL ENDO GIA 60X2.5 ROT,971.36
272000379,3270,TB TRACH PVC SHILEY 8X13.3X105,364.86
272000379,3277,KT TRKR FUSN NAV PDCL,1218.75
272000379,3278,CLP APR INTNL ENDO MD 10,428.34
272000379,3294,LUBRICANT ROTAGLIDE,467.5
272000379,3298,BUR MDS DISCT TPRD 8X1.1,265.32
272000379,3308,CBL PACE TEMP SFTY CONN 12,225
272000379,3310,PK CNSTN VITRECT VISCUS,354
272000379,3313,SUT PSR STR CRS SM,770
272000379,3320,STPL TA 45X4.8,265.56
272000379,3352,SUT PSR STR ELB RT 25D,770
272000379,3355,TB TRACH SHILEY 7.6X12.2X81,248.64
272000379,3387,OATS ST OSTEOCHONDRAL  6,2340
272000379,3392,STPL TA 90X4.8,227.1
